SPECIES,STATION ID,Agricultural,ForestSource,Forested,Urbanized,PreBr1-1,PreBr1-2,PreBr1-3,Breed1-1,Breed1-2,Breed1-3,PostBr1-1,PostBr1-2,PostBr1-3,PreBr2-1,PreBr2-2,PreBr2-3,Breed2-1,Breed2-2,Breed2-3
ADWA,Agri - 1,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,0,1,0,0,1
ADWA,Agri - 10,1,0,0,0,0,1,0,1,0,1,0,0,NA,0,1,0,1,0,1
ADWA,Agri - 11,1,0,0,0,1,1,1,1,1,1,1,1,NA,0,0,1,1,0,0
ADWA,Agri - 12,1,0,0,0,1,1,1,1,0,1,1,1,NA,1,1,0,1,1,0
ADWA,Agri - 13,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Agri - 14,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,0,1,0,0,0,0
ADWA,Agri - 15,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,0,0,NA
ADWA,Agri - 16,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1
ADWA,Agri - 17,1,0,0,0,1,0,1,0,0,1,1,0,NA,1,0,0,0,1,0
ADWA,Agri - 18,1,0,0,0,1,1,1,0,1,0,1,1,NA,0,1,1,1,1,1
ADWA,Agri - 19,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
ADWA,Agri - 2,1,0,0,0,1,1,1,1,1,1,0,1,NA,1,0,1,1,0,1
ADWA,Agri - 20,1,0,0,0,1,1,0,0,1,1,0,0,NA,0,1,1,0,0,0
ADWA,Agri - 21,1,0,0,0,1,1,1,1,0,1,NA,NA,NA,0,1,1,0,1,1
ADWA,Agri - 22,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1
ADWA,Agri - 23,1,0,0,0,0,1,1,1,0,1,NA,NA,NA,1,1,0,0,0,0
ADWA,Agri - 24,1,0,0,0,1,1,1,0,0,0,0,0,NA,0,1,0,0,0,0
ADWA,Agri - 25,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Agri - 26,1,0,0,0,0,1,0,0,0,1,1,0,NA,1,0,0,0,1,1
ADWA,Agri - 27,1,0,0,0,1,0,0,0,0,1,0,0,NA,0,0,1,0,0,0
ADWA,Agri - 28,1,0,0,0,1,1,1,1,1,1,0,0,NA,0,0,1,0,0,0
ADWA,Agri - 29,1,0,0,0,1,1,1,1,0,0,1,1,NA,1,0,1,0,1,0
ADWA,Agri - 3,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
ADWA,Agri - 30,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,1,0,1,0,0,NA
ADWA,Agri - 4,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Agri - 5,1,0,0,0,1,1,1,0,1,1,1,1,NA,0,0,0,0,1,0
ADWA,Agri - 6,1,0,0,0,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,0
ADWA,Agri - 7,1,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Agri - 8,1,0,0,0,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1
ADWA,Agri - 9,1,0,0,0,1,1,1,1,1,1,1,1,NA,0,1,1,1,0,1
ADWA,Edge (G) - 26,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 28,0,1,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
ADWA,Edge (G) - 29,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 30,0,1,0,0,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 31,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 32,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 33,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 34,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 35,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
ADWA,Edge (G) - 36,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 37,0,1,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
ADWA,Edge (G) - 38,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 39,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
ADWA,Edge (G) - 40,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
ADWA,Edge (G) - 41,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
ADWA,Edge (G) - 42,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 43,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (G) - 44,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (S) - 1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
ADWA,Edge (S) - 11,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ADWA,Edge (S) - 12,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ADWA,Edge (S) - 13,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ADWA,Edge (S) - 14,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
ADWA,Edge (S) - 15,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
ADWA,Edge (S) - 16,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
ADWA,Edge (S) - 18,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADWA,Edge (S) - 19,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
ADWA,Edge (S) - 2,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADWA,Edge (S) - 20,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (S) - 21,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADWA,Edge (S) - 22,0,1,0,0,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1
ADWA,Edge (S) - 24,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ADWA,Edge (S) - 25,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
ADWA,Edge (S) - 3,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
ADWA,Edge (S) - 4,0,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (S) - 5,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
ADWA,Edge (S) - 6,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Edge (S) - 7,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0
ADWA,For - 1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ADWA,For - 10,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
ADWA,For - 11,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0
ADWA,For - 12,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
ADWA,For - 13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,For - 14,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
ADWA,For - 15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,For - 16,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 17,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 18,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 19,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
ADWA,For - 2,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ADWA,For - 20,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
ADWA,For - 21,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0
ADWA,For - 22,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 23,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADWA,For - 24,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ADWA,For - 25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADWA,For - 26,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ADWA,For - 27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,For - 28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,For - 29,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADWA,For - 3,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ADWA,For - 4,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,For - 5,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0
ADWA,For - 6,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
ADWA,For - 7,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
ADWA,For - 8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ADWA,For - 9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,Urban - 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,Urban - 10,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Urban - 11,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
ADWA,Urban - 12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ADWA,Urban - 13,0,0,0,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1
ADWA,Urban - 14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,Urban - 15,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Urban - 16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
ADWA,Urban - 17,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ADWA,Urban - 18,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Urban - 19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ADWA,Urban - 2,0,0,0,1,0,0,0,1,0,0,1,0,NA,0,1,1,1,0,0
ADWA,Urban - 20,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADWA,Urban - 21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADWA,Urban - 22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADWA,Urban - 23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADWA,Urban - 24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,Urban - 25,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADWA,Urban - 26,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
ADWA,Urban - 27,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0
ADWA,Urban - 28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADWA,Urban - 29,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
ADWA,Urban - 3,0,0,0,1,1,0,0,0,1,1,0,1,NA,0,0,1,1,1,0
ADWA,Urban - 30,0,0,0,1,1,0,0,1,0,1,0,0,NA,0,0,0,1,0,0
ADWA,Urban - 4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADWA,Urban - 5,0,0,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
ADWA,Urban - 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADWA,Urban - 7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADWA,Urban - 8,0,0,0,1,1,1,1,0,0,0,0,0,NA,0,1,1,1,0,1
ADWA,Urban - 9,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AFCD,Agri - 1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 10,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 11,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 12,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 13,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 14,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
AFCD,Agri - 15,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA
AFCD,Agri - 16,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 17,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 18,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 19,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 2,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 20,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 21,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
AFCD,Agri - 22,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 23,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
AFCD,Agri - 24,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 25,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 26,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 27,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 28,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 29,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
AFCD,Agri - 3,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
