Y05.1,Y05.2,Y05.3,Y06.1,Y06.2,Y06.3,Y07.1,Y07.2,Y07.3,Y08.1,Y08.2,Y08.3,Plot,Species,Pland,ed,wheight,wpf
1,0,1,1,0,0,0,0,0,0,0,0,AE1K,Common Redpoll,17.949,1089.788,77.5,2.5
0,1,1,1,1,1,0,0,0,NA,NA,NA,AE2K,Common Redpoll,52.21,498.2,162.5,3.25
1,1,1,1,1,1,0,1,0,1,0,0,AE3K,Common Redpoll,27.408,570.683,142.5,3
1,1,1,1,1,1,1,1,1,1,1,0,AE4K,Common Redpoll,58.887,401.606,220,3
1,1,1,1,1,1,1,1,1,1,0,0,AE5K,Common Redpoll,52.546,808.824,160,3.25
0,1,1,1,1,1,1,0,0,0,1,0,GU1K,Common Redpoll,25.626,535.876,85,2.75
1,1,1,1,1,1,0,1,0,1,1,0,KOF1A,Common Redpoll,8.518,524.253,185,5.5
1,0,1,0,0,1,1,1,1,0,1,0,KOF1B,Common Redpoll,11.899,285.373,200,5.5
1,0,1,1,1,1,1,1,1,0,0,0,KOF1C,Common Redpoll,13.038,416.035,210,2.5
0,1,1,1,0,1,1,0,1,1,1,1,KOF1D,Common Redpoll,31.029,393.177,145,0.75
0,0,0,1,0,1,1,1,1,1,1,1,KOF1E,Common Redpoll,7.325,250.904,242.5,1.75
1,1,0,0,1,1,1,1,1,1,1,1,KOF2A,Common Redpoll,44.793,479.363,270,2.5
1,0,0,1,1,1,0,1,0,1,0,1,KOF2B,Common Redpoll,39.771,506.617,247.5,2
1,0,1,1,1,1,1,1,1,0,1,1,KOF2C,Common Redpoll,57.403,965.072,167.5,0.75
1,1,1,1,1,1,0,1,1,0,1,0,KOF2D,Common Redpoll,18.794,785.177,220,5.25
1,0,0,1,1,1,0,NA,1,1,0,0,KOF2E,Common Redpoll,18.393,459.845,217.5,1.5
1,1,0,1,1,1,0,1,1,1,1,0,KOF3A,Common Redpoll,26.362,737.481,157.5,1.75
0,0,1,0,0,1,0,1,1,0,1,0,KOF3B,Common Redpoll,11.747,445.695,265,1.25
1,1,0,0,0,0,0,0,1,1,1,1,S1K,Common Redpoll,28.966,558.24,90,2
1,1,0,1,0,1,0,1,1,0,0,0,S2K,Common Redpoll,43.278,1839.293,90,2.75
0,0,0,1,0,1,0,0,0,1,0,0,ST1K,Common Redpoll,14.87,1114.237,90,3.25
0,0,0,1,0,1,1,0,0,0,0,0,ST2K,Common Redpoll,17.723,1156.819,90,3.25
0,0,0,1,0,0,0,1,1,1,0,0,ST3K,Common Redpoll,6.008,600.002,102.5,3
1,1,0,0,0,1,1,0,1,1,0,0,ST4K,Common Redpoll,28.386,722.812,97.5,3
1,1,1,1,1,1,0,0,1,0,0,0,VJF1A,Common Redpoll,8.172,263.329,180,0.25
1,1,1,1,1,1,0,1,1,0,0,1,VJF1B,Common Redpoll,27.316,824.456,175,2.5
1,1,1,1,1,1,1,1,1,1,1,1,VJF1C,Common Redpoll,18.116,748.703,117.5,2
0,1,1,0,0,1,0,1,1,0,0,0,VJF1D,Common Redpoll,12.183,395.582,122.5,3
1,1,1,0,1,1,1,1,1,0,0,0,VJF2A,Common Redpoll,12.279,286.575,220,2
