Year Band Day Net Sex
2005 1911.52067 1 2 F
2005 1911.52069 1 15 F
2005 1911.52069 9 20 F
2005 1911.52070 1 14 M
2005 1911.52070 1 15 M
2005 1911.52070 6 17 M
2005 1911.52070 9 27 M
2005 1911.52071 1 41 F
2005 1911.52071 1 42 F
2005 1911.52071 1 42 F
2005 1911.52071 3 39 F
2005 1911.52071 3 2 F
2005 1911.52074 1 43 M
2005 1911.52082 2 6 M
2005 1911.52082 2 39 M
2005 1911.52082 2 6 M
2005 1911.52082 2 39 M
2005 1911.52082 4 6 M
2005 1911.52082 5 7 M
2005 1911.52082 6 4 M
2005 1911.52082 6 42 M
2005 1911.52083 2 22 F
2005 1911.52083 3 21 F
2005 1911.52083 5 22 F
2005 1911.52085 2 9 F
2005 1911.52085 2 8 F
2005 1911.52090 2 9 M
2005 1911.52091 2 16 M
2005 1911.52091 3 27 M
2005 1911.52095 2 32 M
2005 1911.52095 3 28 M
2005 1911.52095 6 32 M
2005 1911.52095 7 26 M
2005 1911.52099 2 13 M
2005 1911.52104 3 34 M
2005 1911.52104 4 21 M
2005 1911.52116 4 21 M
2005 1911.52116 9 25 M
2005 1911.52122 5 24 F
2005 1911.52138 8 32 M
2005 1911.52141 8 40 M
2005 1911.52146 9 7 M
2005 1911.52147 9 34 F
2005 2091.97751 6 3 M
2006 1831.28623 4 41 F
2006 1911.52070 1 27 M
2006 1911.52070 1 28 M
2006 1911.52070 3 24 M
2006 1911.52082 2 10 M
2006 1911.52082 3 7 M
2006 1911.52082 3 8 M
2006 1911.52090 4 32 M
2006 1911.52090 10 6 M
2006 1911.52091 1 16 M
2006 1911.52091 2 13 M
2006 1911.52091 4 29 M
2006 1911.52091 4 12 M
2006 1911.52091 5 16 M
2006 1911.52091 5 15 M
2006 1911.52091 8 30 M
2006 1911.52095 2 33 M
2006 1911.52095 3 29 M
2006 1911.52095 5 29 M
2006 1911.52095 6 7 M
2006 1911.52095 9 10 M
2006 1911.52104 8 17 M
2006 1911.52116 4 22 M
2006 1911.52116 4 23 M
2006 1911.52122 1 27 F
2006 1911.52138 1 33 M
2006 1911.52138 1 31 M
2006 1911.52138 5 32 M
2006 1911.52138 7 33 M
