Net x y
1 -50.0 -285.0
2 -50.0 -255.0
3 -50.0 -225.0
4 -50.0 -195.0
5 -50.0 -165.0
6 -50.0 -135.0
7 -50.0 -105.0
8 -50.0 -75.0
9 -50.0 -45.0
10 -50.0 -15.0
11 -50.0 15.0
12 -50.0 45.0
13 -50.0 75.0
14 -50.0 105.0
15 -50.0 135.0
16 -50.0 165.0
17 -50.0 195.0
18 -50.0 225.0
19 -50.0 255.0
20 -50.0 285.0
21 -17.0 285.0
22 16.0 285.0
23 49.0 285.0
24 49.0 255.0
25 49.0 225.0
26 49.0 195.0
27 49.0 165.0
28 49.0 135.0
29 49.0 105.0
30 49.0 75.0
31 49.0 45.0
32 49.0 15.0
33 49.0 -15.0
34 49.0 -45.0
35 49.0 -75.0
36 49.0 -105.0
37 49.0 -135.0
38 49.0 -165.0
39 49.0 -195.0
40 49.0 -225.0
41 49.0 -255.0
42 49.0 -285.0
43 16.0 -285.0
44 -17.0 -285.0
